seed,asset
1,NYSE:HESM
1,NASDAQ:ORLY
1,NASDAQ:ANAB
1,NASDAQ:SRCE
1,NASDAQ:VRNT
1,NYSE:PKG
1,NYSE:TPR
1,NYSE:MRK
1,NYSE:ACM
1,NASDAQ:HEES
1,NASDAQ:GBDC
1,NYSE:RNG
1,NASDAQ:HEAR
1,NYSE:LPX
1,NASDAQ:ROST
1,NYSE:PBI
1,NYSE:VVI
1,NYSE:MET
1,NASDAQ:WIRE
1,NASDAQ:ONEW
1,NASDAQ:FTDR
1,NASDAQ:MGPI
1,NYSE:MTD
1,NASDAQ:WINA
1,NYSE:KOS
1,NASDAQ:EBAY
1,NASDAQ:TW
1,NASDAQ:OCSL
1,NASDAQ:SYBT
1,NASDAQ:ZS
1,NASDAQ:ATEX
1,NASDAQ:LIVN
1,NASDAQ:FIVN
1,NYSE:LII
1,NYSE:IEX
1,NASDAQ:RYTM
1,NYSE:USFD
1,NASDAQ:SCHL
1,NYSE:NEM
1,NYSE:DE
1,NASDAQ:NBTB
1,NYSE:MAS
1,NYSE:LEN
1,NASDAQ:TCMD
1,NASDAQ:MU
1,NASDAQ:CRDF
1,NASDAQ:PFBC
1,NASDAQ:MORN
1,NASDAQ:SDGR
1,NASDAQ:BBSI
