seed,asset
4,NYSE:DDS
4,NASDAQ:CNOB
4,NYSE:ARW
4,NYSE:LPX
4,NASDAQ:QCOM
4,NYSE:WGO
4,NASDAQ:SHYF
4,NASDAQ:CYTK
4,NYSE:ORCL
4,NYSE:USPH
4,NYSE:NEM
4,NASDAQ:SITM
4,NYSE:ROL
4,NASDAQ:PAAS
4,NYSE:CIVI
4,NASDAQ:ITRI
4,NYSE:TMHC
4,NASDAQ:TXN
4,NYSE:SRE
4,NYSE:ALL
4,NYSE:PAGS
4,NYSE:SBOW
4,NASDAQ:NEOG
4,NASDAQ:RDFN
4,NYSE:GIL
4,NYSE:CMP
4,NYSE:KOS
4,NYSE:FL
4,NASDAQ:HLIT
4,NYSE:TPX
4,NYSE:YETI
4,NYSE:MS
4,NYSE:A
4,NASDAQ:LSCC
4,NYSE:SFBS
4,NYSE:IDA
4,NASDAQ:EFSC
4,NYSE:TPH
4,NASDAQ:PINC
4,NYSE:RNG
4,NYSE:BTU
4,NASDAQ:SLM
4,NASDAQ:INTU
4,NASDAQ:TSCO
4,NYSE:TFC
4,NYSE:EW
4,NASDAQ:TRS
4,NYSE:HP
4,NASDAQ:WSBC
4,NYSE:TREX
