seed,date,cost_coeff
2,2020-03-20,0.00985979919902921
2,2020-03-23,0.010447144905408594
2,2020-03-24,0.013704902146175094
2,2020-03-25,0.012436527736077098
2,2020-03-26,0.0120072157658995
2,2020-03-27,0.011349693552338634
2,2020-03-30,0.010491652790869246
2,2020-03-31,0.009502698677603859
2,2020-04-01,0.00953506091634323
2,2020-04-02,0.00905535008845453
2,2020-04-03,0.008672172954852031
2,2020-04-06,0.009184014036156759
2,2020-04-07,0.008824378344300731
2,2020-04-08,0.008674820866897212
2,2020-04-09,0.00860707966145734
2,2020-04-13,0.00847650704791552
2,2020-04-14,0.00825224160708608
2,2020-04-15,0.00815072651432811
2,2020-04-16,0.007931363848135585
2,2020-04-17,0.007899916085365095
2,2020-04-20,0.007737345661191785
2,2020-04-21,0.007468438260303564
2,2020-04-22,0.007117823852687371
2,2020-04-23,0.006260862698671968
2,2020-04-24,0.0059677064542170985
2,2020-04-27,0.005795928248036695
2,2020-04-28,0.005558275239662247
2,2020-04-29,0.005655342206827746
2,2020-04-30,0.005830356055466118
2,2020-05-01,0.005628458047611492
2,2020-05-04,0.005512348523631703
2,2020-05-05,0.005511517071899369
2,2020-05-06,0.0049494900153066995
2,2020-05-07,0.004876450462943739
2,2020-05-08,0.004889971484149003
2,2020-05-11,0.004679215939422859
2,2020-05-12,0.004582314871106873
2,2020-05-13,0.004570434719483792
2,2020-05-14,0.004378848399841632
2,2020-05-15,0.004327169137134496
2,2020-05-18,0.004503209927301049
2,2020-05-19,0.004494113442390707
2,2020-05-20,0.004512248640161748
2,2020-05-21,0.0044049969103825
2,2020-05-22,0.004332925488107709
2,2020-05-26,0.004491591754930036
2,2020-05-27,0.0043940556389936965
2,2020-05-28,0.00440335966515245
2,2020-05-29,0.004181943427524856
2,2020-06-01,0.003976407232115583
2,2020-06-02,0.0037893562425306325
2,2020-06-03,0.003847422227449142
2,2020-06-04,0.003744114847035048
2,2020-06-05,0.0038057455881343465
2,2020-06-08,0.0038599315246949334
2,2020-06-09,0.0036558503222747884
2,2020-06-10,0.003686260380560526
2,2020-06-11,0.004025777116577905
2,2020-06-12,0.003958856379990072
2,2020-06-15,0.003988467543816647
2,2020-06-16,0.003974024934885752
2,2020-06-17,0.00355486150119025
2,2020-06-18,0.0033963027047956853
2,2020-06-19,0.003235404696439625
2,2020-06-22,0.0032204075961057106
2,2020-06-23,0.0032261929457169263
